18:14:50.096 ERROR    logcat: hd[0]: Syan(4597): ________________ wb6504k ________________ 
18:14:51.477 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:14:51.477 DEBUG    SMan: hd[0]: CameraBase: In: Command: 0a 
18:14:51.477 INFO     SMan: hd[0]: CameraJCCP: composeWhiteBalanceCmd: JCCP camera got white balance change to mode 10
18:14:51.477 INFO     SMan: hd[0]: CameraJCCP: Send 4 bytes: 83 42 12 a 
18:14:51.477 INFO     SMan: hd[0]: SrcMan: 83 42 12 0A 
18:14:51.477 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203B\022\n" } 
18:14:51.477 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:14:51.477 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:14:51.477 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:14:51.478 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203B\022\n" } 
18:14:51.478 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:14:51.478 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:14:51.478 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:14:51.478 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:14:51.484 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:14:51.484 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:14:51.485 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:14:51.485 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:14:51.485 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:14:51.485 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:14:51.485 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:14:51.485 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:14:51.485 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:14:51.485 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:14:51.485 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:14:51.485 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:14:51.485 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
