12:28:37.588 ERROR    logcat: hd[0]: Syan(5115): ________________ camera near move down ________________ 
12:28:37.705 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStart direction: kDown 
12:28:37.705 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 0 3 -1 0x232480
12:28:37.705 INFO     SMan: hd[0]: CameraJCCP: Move - 0 3 -1
12:28:37.705 INFO     SMan: hd[0]: CameraJCCP: Move - first start
12:28:37.705 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:28:37.705 DEBUG    SMan: hd[0]: CameraBase: In: Command: 00 03 ffffffff 
12:28:37.705 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 0 3 -1
12:28:37.705 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - Timer Start(150, 1)
12:28:37.705 INFO     SMan: hd[0]: SrcMan: 83 45 04 11 
12:28:37.705 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
12:28:37.705 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
12:28:37.705 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
12:28:37.706 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
12:28:37.706 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203E\004\021" } 
12:28:37.706 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
12:28:37.707 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
12:28:37.707 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:28:37.707 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:28:37.713 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:28:37.713 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
12:28:37.714 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:28:37.714 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
12:28:37.715 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:28:37.715 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
12:28:37.715 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:28:37.715 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
12:28:37.715 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
12:28:37.715 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
12:28:37.715 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
12:28:37.715 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
12:28:37.715 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
12:28:37.715 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
12:28:37.715 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
12:28:37.715 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
12:28:37.715 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
12:28:37.716 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
12:28:37.716 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
