18:18:51.377 ERROR    logcat: hd[0]: Syan(4688): ________________ brightness 17 ________________ 
18:18:55.798 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:18:55.798 DEBUG    SMan: hd[0]: CameraBase: In: Command: 11 
18:18:55.798 INFO     SMan: hd[0]: CameraJCCP: composeBrightnessCmd: JCCP camera got brightness change to 17
18:18:55.798 INFO     SMan: hd[0]: CameraJCCP: Send 5 bytes: 84 41 33 1 6 
18:18:55.798 INFO     SMan: hd[0]: SrcMan: 84 41 33 01 06 
18:18:55.799 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\204A3\001\006" } 
18:18:55.799 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:18:55.799 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:18:55.799 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:18:55.799 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\204A3\001\006" } 
18:18:55.799 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:18:55.800 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:18:55.800 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:18:55.800 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:18:55.807 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:18:55.807 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:18:55.807 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:18:55.808 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:18:55.808 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
