18:18:29.815 ERROR    logcat: hd[0]: Syan(4678): ________________ brightness 14 ________________ 
18:18:34.737 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:18:34.737 DEBUG    SMan: hd[0]: CameraBase: In: Command: 0e 
18:18:34.737 INFO     SMan: hd[0]: CameraJCCP: composeBrightnessCmd: JCCP camera got brightness change to 14
18:18:34.737 INFO     SMan: hd[0]: CameraJCCP: Send 5 bytes: 84 41 33 1 3 
18:18:34.737 INFO     SMan: hd[0]: SrcMan: 84 41 33 01 03 
18:18:34.737 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\204A3\001\003" } 
18:18:34.737 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:18:34.737 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:18:34.738 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:18:34.738 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\204A3\001\003" } 
18:18:34.738 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:18:34.739 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:18:34.739 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:18:34.739 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:18:34.746 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:18:34.746 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:18:34.746 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:18:34.746 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:18:34.747 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:18:34.747 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:18:34.747 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:18:34.747 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:18:34.747 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:18:34.747 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
