18:20:01.211 ERROR    logcat: hd[0]: Syan(4725): ________________ sat 4 ________________ 
18:20:02.418 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:20:02.419 DEBUG    SMan: hd[0]: CameraBase: In: Command: 04 
18:20:02.419 INFO     SMan: hd[0]: CameraJCCP: composeSaturationCmd: JCCP camera got saturation change to 4
18:20:02.419 INFO     SMan: hd[0]: CameraJCCP: Send 4 bytes: 83 43 3e 7e 
18:20:02.419 INFO     SMan: hd[0]: SrcMan: 83 43 3E 7E 
18:20:02.419 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\203C>~" } 
18:20:02.419 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
18:20:02.419 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
18:20:02.420 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
18:20:02.420 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\203C>~" } 
18:20:02.420 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
18:20:02.420 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
18:20:02.420 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:20:02.420 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:20:02.426 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:20:02.426 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
18:20:02.427 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:20:02.427 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
18:20:02.427 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
18:20:02.427 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
18:20:02.427 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
18:20:02.427 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
18:20:02.427 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
18:20:02.428 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
18:20:02.428 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
18:20:02.428 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:20:02.428 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
18:20:02.428 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
18:20:02.428 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
18:20:02.429 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
18:20:02.429 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
18:20:02.429 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
