22:30:34.408 ERROR    logcat: hd[0]: Syan(3976): ________________ camera near move stop ________________ 
22:30:34.530 INFO     SMan: hd[0]: SrcMan: MoveCameraReqHdlr: session_id: 0 cmd: kStop direction: kAll 
22:30:34.530 INFO     SMan: hd[0]: SrcMan: MoveSelectedCamera 0 2 8 -1 0x202920
22:30:34.530 INFO     SMan: hd[0]: CameraJCCP: Move - 2 8 -1
22:30:34.530 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:34.530 DEBUG    SMan: hd[0]: CameraBase: In: Command: 02 08 ffffffff 
22:30:34.530 INFO     SMan: hd[0]: CameraJCCP: composeMoveCmd - 2 8 -1
22:30:34.530 INFO     SMan: hd[0]: SrcMan: 82 45 02 
22:30:34.530 INFO     SMan: hd[0]: SrcMan: PortNear SrcManPortNear1 Controller 0 SendMessage: component_id: "cam1" serial_write { serial_bytes: "\202E\002" } 
22:30:34.530 INFO     SMan: hd[0]: SrcMan: SendMessage: local port controller 
22:30:34.530 INFO     SMan: hd[0]: SrcMan: SendToEndpoint from SrcManPortNear1 to PortController
22:30:34.531 INFO     PCon: hd[0]: PcThreads: PC: NETRA0 input thread received CMD/REQ Msg - Comp_ID = cam1
22:30:34.531 INFO     PCon: hd[0]: PcThreads: PC_ProcessMsg: component_id: "cam1" serial_write { serial_bytes: "\202E\002" } 
22:30:34.532 INFO     PCon: hd[0]: PcSerial: Not CAM CTRL mode:  Send to CAMx ser HDCI
22:30:34.532 INFO     SMan: hd[0]: SrcMan: SendMessage: component_id: "cam1" error: kErrNoError 
22:30:34.532 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:30:34.532 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:34.537 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:34.537 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\240" 
22:30:34.537 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:34.538 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\240" 
22:30:34.538 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:34.538 DEBUG    SMan: hd[0]: CameraBase: In: Response: a0 
22:30:34.538 INFO     SMan: hd[0]: CameraJCCP: QRead 1 bytes
22:30:34.538 INFO     SMan: hd[0]: CameraJCCP: ProcessMessage: cam response: a0 
22:30:34.538 INFO     SMan: hd[0]: CameraJCCP: rx: JCCP ACK
22:30:34.538 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 0
22:30:34.538 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:34.538 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:34.538 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\222" 
22:30:34.539 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:34.539 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\222" 
22:30:34.539 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:34.539 DEBUG    SMan: hd[0]: CameraBase: In: Response: 92 
22:30:34.539 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 1
22:30:34.539 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:34.539 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:34.539 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "@" 
22:30:34.540 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:34.540 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "@" 
22:30:34.540 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: got message...
22:30:34.540 DEBUG    SMan: hd[0]: CameraBase: In: Response: 40 
22:30:34.540 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: qHandler QLength is 2
22:30:34.540 DEBUG    SMan: hd[0]: CameraBase: SM: WaitForNewCmdMsg: blocking on dequeue...
22:30:34.540 INFO     PCon: hd[0]: PcSerial: PC: Serial read - sent notify from: PC:CAM1, num chars:1
22:30:34.540 INFO     PCon: hd[0]: PcSerial: CAM_Serial_ReadThread: component_id: "cam1" serial_bytes: "\000" 
22:30:34.541 INFO     SMan: hd[0]: SrcMan: SMPlatformComponentNtfyHdlr, context 0x7b97c
22:30:34.541 INFO     SMan: hd[0]: SrcMan: PlatformComponentNtfyHdlr: component_id: "cam1" serial_bytes: "\000" 
